Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D155,LED,LED_0402_1005Metric,-29.560875,-12.0355,270,top
D156,LED,LED_0402_1005Metric,-28.37025,-13.623,0,top
D157,LED,LED_0402_1005Metric,-24.004625,-10.448,0,top
D158,LED,LED_0402_1005Metric,-22.814,-12.0355,270,top
D159,LED,LED_0402_1005Metric,-22.814,-15.2105,270,top
D160,LED,LED_0402_1005Metric,-24.004625,-16.798,0,top
D161,LED,LED_0402_1005Metric,-25.19525,-15.2105,270,top
D162,LED,LED_0402_1005Metric,-25.19525,-12.0355,270,top
D163,LED,LED_0402_1005Metric,-24.004625,-13.623,0,top
D164,LED,LED_0402_1005Metric,-19.639,-10.448,0,top
D165,LED,LED_0402_1005Metric,-18.448375,-12.0355,270,top
D166,LED,LED_0402_1005Metric,-18.448375,-15.2105,270,top
D167,LED,LED_0402_1005Metric,-19.639,-16.798,0,top
D168,LED,LED_0402_1005Metric,-20.829625,-15.2105,270,top
D169,LED,LED_0402_1005Metric,-20.829625,-12.0355,270,top
D170,LED,LED_0402_1005Metric,-19.639,-13.623,0,top
D171,LED,LED_0402_1005Metric,-15.273375,-10.448,0,top
D172,LED,LED_0402_1005Metric,-14.08275,-12.0355,270,top
D173,LED,LED_0402_1005Metric,-14.08275,-15.2105,270,top
D174,LED,LED_0402_1005Metric,-15.273375,-16.798,0,top
D175,LED,LED_0402_1005Metric,-16.464,-15.2105,270,top
D176,LED,LED_0402_1005Metric,-16.464,-12.0355,270,top
D177,LED,LED_0402_1005Metric,-15.273375,-13.623,0,top
